PRODUCT,UF,MODEL,PARAMETERS,CLASS,MAPE,POCID,PBE,"MASE(2020,2021,2022,2023,2024)",RRMSE,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60
etanolhidratado,mg,RF,Wind12_TsCesium,Regressor,0.194799393,54.23728814,-3.668322615,"0.4253, 1.1347, 0.3906, 2.2372, 0.5478",0.4713479,259467.3012,276824.1527,273146.0959,279931.3661,277402.7513,257114.7262,275366.954,279384.03,278099.2137,258826.4727,276730.7706,268691.2377,240674.6935,238926.2885,240513.0419,189411.785,188697.6328,189038.9543,238738.8102,237997.7565,189204.6299,188437.6805,188492.6592,187150.897,179751.4288,179522.8685,179137.1843,144020.6443,141974.4408,180565.3555,181592.1796,180649.8751,141484.063,181157.3793,181581.8081,180559.2678,249532.0976,249670.6407,240607.6168,177137.2314,175505.612,175495.7486,248708.8087,248847.4812,175336.4819,175240.005,175653.9848,175969.37,186744.541,187564.584,188148.1048,142612.2096,139819.218,187132.234,187355.9967,183242.9147,144799.295,188228.1206,186939.7196,188538.9143
etanolhidratado,ms,Prophet,Wind24_TsFel,Regressor,0.174458638,61.01694915,11.13116108,"0.4154, 0.8128, 0.4042, 0.7208, 0.5729",0.392930713,9998.317479,10070.51879,10091.5422,10055.66309,9986.969455,9852.799193,9673.247032,9469.98059,9255.734413,9036.857064,8828.323357,8822.022094,10270.30687,10190.15793,10216.84854,10311.65489,10505.02055,10673.04665,10797.725,10844.87395,10974.88374,11064.52589,11064.9056,11269.65702,11249.52729,11463.71402,11658.58519,11815.77386,11929.90368,11993.25448,11994.5876,11919.47489,11735.47779,11543.11231,11304.43495,11159.52021,12944.17993,12524.06729,12097.09277,11765.47493,11599.87777,11462.85297,11447.86333,11448.78487,11420.72792,11497.5522,11445.70053,11685.61517,13038.06529,13702.10319,14603.30278,15506.27482,16372.30681,17160.41638,17859.05471,18403.46555,18764.03361,18953.62956,18833.90631,18540.46671
etanolhidratado,mt,kNN,Wind12_TsCesium,Regressor,0.112008626,55.93220339,-4.233445606,"0.6544, 0.7516, 0.4727, 1.0018, 1.0656",0.364786997,93853.00231,95529.26091,91122.1214,86209.60175,86209.60175,87071.16221,90605.98942,90605.98942,93580.67363,90605.98942,93580.67363,94812.89806,71732.05358,79770.35903,79762.44951,81888.06593,73961.97853,82229.25236,87622.4749,83594.82667,79065.00772,87622.4749,82328.47306,75048.41588,77201.39721,71060.64839,71752.97269,77117.38946,74722.29047,71980.84479,71007.79351,76269.55401,66476.00455,71752.97269,75844.41344,65332.55189,71732.05358,79770.35903,79762.44951,81888.06593,73961.97853,82229.25236,87622.4749,83594.82667,79065.00772,87622.4749,82328.47306,75048.41588,77201.39721,71060.64839,71752.97269,77117.38946,74722.29047,71980.84479,71007.79351,76269.55401,66476.00455,71752.97269,75844.41344,65332.55189
etanolhidratado,pa,RF,Wind12_TsCesium,Regressor,0.185290062,44.06779661,12.55939863,"0.2564, 0.7124, 0.4417, 1.0508, 0.8354",0.31549235,4841.245706,4854.867653,4858.848482,4868.820468,4843.161627,4866.968299,4870.706003,4869.714998,4718.312125,4725.079535,4663.15457,4879.033023,3104.143449,3123.137542,3201.1519,3189.810808,3196.572088,3194.127208,3190.876697,3171.713602,3190.582439,3233.807239,3220.666902,3412.70718,3165.280014,3173.49361,3167.6263,3119.351472,3214.893949,3158.315948,3121.329182,3114.218104,3089.162559,3082.051481,3141.763363,3281.054968,3148.318995,3112.905011,3164.10146,3164.637024,3179.895181,3023.721933,3023.891383,3070.348358,3126.006096,3049.641798,3085.249512,3031.255085,3185.117155,3173.588846,3185.117155,3311.817917,3194.326063,3079.677503,3231.143063,3215.91948,3322.052398,3305.804874,3173.487809,3277.693775
etanolhidratado,pb,LagLlama,Exp22,LLM,0.301420348,59.3220339,15.17923363,"1.1657, 1.3635, 0.4687, 1.2634, 0.7179",0.626139737,16189.81738,14594.6875,14571.97168,14203.94824,12830.16309,10996.0498,9822.547852,9957.71875,9540.230469,10941.52637,10627.86914,8638.111328,13614.59082,11961.44531,10190.27246,8643.511719,7415.512695,6574.002441,7602.669434,9348.210938,9369.832031,10663.4043,10144.88086,8873.058594,14389.37305,11615.9043,8837.822266,8350.862305,8301.338867,8083.055664,11611.64063,12595.12109,12506.02539,14291.59863,12408.4541,9385.052734,8109.462402,6690.420898,6932.535156,7618.942383,7796.224121,7534.463867,7780.072754,9021.399414,9341.329102,9845.069336,9289.799805,8584.194336,7538.220215,8488.991211,8181.759277,7816.709961,7087.123535,7176.304688,7154.584961,8639.920898,9664.744141,11200.18555,10464.83398,9993.40332
etanolhidratado,pe,LagLlama,Exp22,LLM,0.232850112,61.01694915,-1.867470663,"0.5952, 0.6623, 0.7015, 1.1599, 0.4739",0.30204934,31861.05273,30691.15234,29848.54297,27331.87891,27046.40039,27642.67773,25459.84766,29933.28516,26287.57422,30227.42188,29959.90039,28629.49609,28589.16797,26024.93945,25200.93359,24252.08203,22251.88086,19253.36133,22249.54883,24566.16797,23110.30078,32007.52539,30439.33203,27863.18164,26629.54688,23601.03125,22652.29688,21238.65039,19401.64844,19478.49805,20744.34961,21220.64063,17384.91797,22958.83984,22474.50781,24808.48438,16377.65039,14125.8457,13644.21289,12582.47754,13194.4375,12137.40039,13217.9043,13517.54688,15008.51367,16034.49219,15441.65039,14525.80176,15522.6377,16647.53125,16886.57227,14744.62695,16449.65234,16152.8125,15318.24805,17378.69727,18789.55859,21499.88867,19194.54492,17549.86133
etanolhidratado,pi,RF,Wind12_TsCesium,Regressor,0.216120705,49.15254237,8.396009487,"0.8931, 0.9046, 0.6253, 0.8628, 0.4217",0.553180321,8508.308824,8240.550327,8407.750042,8337.430264,8567.570423,8227.596175,7419.595573,7381.787197,7407.83674,8497.019349,7426.640353,8348.806637,5154.449554,5101.345719,5198.059775,3453.75952,5152.589461,5146.500344,4001.363905,3623.756154,3609.25573,4072.323645,5102.074702,4054.478392,6758.517756,6783.112578,5532.998572,5616.938227,6751.308206,5451.194364,5454.536599,5471.987388,5435.64941,5531.422551,5499.883377,5609.667473,5341.103795,5211.794967,5304.478577,4089.60819,5337.60871,5377.820125,4378.517185,4192.710675,4241.006896,4503.217904,5261.465402,4539.880747,6628.721244,6614.87647,5637.878947,5743.387647,6591.227854,5696.964108,5710.21638,5727.639801,5680.466829,5629.237699,5710.706919,6596.10956
etanolhidratado,pr,RF,Wind12_TsCesium,Regressor,0.223922679,57.62711864,-6.551733722,"0.5381, 0.2866, 0.3435, 3.8664, 0.7717",0.315358306,148794.0856,148466.9724,146214.5238,146225.8277,146179.0508,146580.124,146042.3202,146591.3331,146037.3214,147100.0955,144664.6627,148210.8163,105581.5965,105437.7444,110511.3172,105835.8768,108592.0743,109975.5241,108393.476,105709.226,105489.1077,105464.1996,105612.6744,105638.8368,78722.72848,81651.12115,78657.87316,75034.0672,81649.46533,80174.63103,73761.21458,74577.60791,75975.91865,77131.16484,74998.59004,76088.41618,104537.3781,104198.3585,108463.4578,106670.0713,107067.0502,108702.8683,107667.5591,104663.8278,104649.3358,107869.766,104718.9791,104269.2555,78800.68458,81857.67071,78760.52768,71479.53779,71502.95697,71164.54431,79040.09475,78640.78989,71705.90028,72150.15931,80717.50315,81719.93713
etanolhidratado,rj,RF,Wind12_TsCesium,Regressor,0.147907958,42.37288136,12.41159054,"0.3850, 0.4027, 0.4146, 3.2743, 1.0344",0.275765958,64712.15876,62179.39884,61939.88363,64629.66389,62201.91564,62095.29281,62170.05015,62107.77804,61961.07478,62117.41631,60836.34977,65504.52943,37724.11674,37452.01744,40796.8005,40744.82555,40561.44534,45937.51232,47654.32913,48094.66667,45679.25854,40138.56984,47245.14203,39276.1214,44087.71674,44563.8636,47346.04841,47108.8664,46642.24751,44645.56135,44177.72049,44046.74525,44664.21102,43876.6648,44024.44824,46610.93254,36568.89991,36284.06644,38425.23601,38359.91567,38452.69262,38552.18165,47124.76875,46628.24048,47337.7299,46774.29882,47226.44022,38579.64446,44071.12358,44533.08049,46943.64929,46942.22222,47165.9588,44309.28509,44213.32653,44306.56379,43883.63871,43654.48945,44520.36749,47834.96163
etanolhidratado,rn,XGB,Wind12_TsCesium,Regressor,0.24194282,40.6779661,17.07796821,"0.6751, 1.1340, 0.6464, 1.3049, 0.6480",0.356191233,7601.644733,7913.921678,7943.751912,8009.947364,7943.751912,8009.947364,8198.057832,8134.206999,7943.751912,7419.311155,7936.928983,7003.781968,5222.260791,4061.828167,4630.525672,4061.828167,4061.828167,4061.828167,5403.510429,4061.828167,4275.225551,4229.855553,4124.144771,4061.828167,3931.243417,5157.847787,4104.478084,4790.118541,3839.385345,4210.241742,4794.226804,4210.241742,4210.241742,3259.454546,3623.07549,4790.118541,5222.260791,4061.828167,4630.525672,4061.828167,4061.828167,4061.828167,5403.510429,4061.828167,4275.225551,4229.855553,4124.144771,4061.828167,3931.243417,5157.847787,4104.478084,4790.118541,3839.385345,4210.241742,4794.226804,4210.241742,4210.241742,3259.454546,3623.07549,4790.118541
