PRODUCT,UF,MODEL,DATA,MAPE,POCID,PBE,MASE,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
etanolhidratado,ac,Prophet,RawData,0.372190915,81.81818182,41.67545023,0.951050556,498.8725369,494.9712947,497.6974651,512.1404821,532.7598997,551.5861895,552.9966296,559.2530133,523.7168182,557.2782432,497.1592994,461.8907651
etanolhidratado,al,Prophet,RawData,0.141294537,45.45454545,-1.119999203,0.414834004,5975.294874,5369.803967,5209.542886,5515.730383,5584.02237,5941.576537,6006.674425,6382.215419,5773.689084,6903.523015,6234.120441,5175.236665
etanolhidratado,am,Prophet,RawData,0.198546092,81.81818182,20.04833905,0.704210404,11806.2953,11384.09661,11479.73679,11542.38765,11716.13816,12664.54265,12186.92227,12860.1086,11893.94146,12806.21495,10160.21462,10687.29985
etanolhidratado,ap,Prophet,RawData,0.362608661,72.72727273,43.40703905,0.801910128,24.87158665,23.23683974,23.90727898,24.45402012,25.435046,27.68942257,28.09572377,29.07444619,26.63998366,27.85276531,24.58472673,22.1698777
etanolhidratado,ba,Prophet,RawData,0.157545969,54.54545455,4.384459305,0.505888086,40724.50616,37375.38755,38439.77028,39991.49387,39994.41606,39333.92688,41030.2432,44568.63955,39821.00209,49061.00814,45960.04045,37807.59711
etanolhidratado,ce,Prophet,RawData,0.241669387,54.54545455,27.69109329,0.757338641,9785.180287,9292.027225,9545.941494,9812.39293,10385.13839,10346.78295,10031.17673,10862.26047,10110.51713,12162.84799,10750.27504,8990.003637
etanolhidratado,df,Prophet,RawData,0.557522952,72.72727273,61.93968373,1.002873603,7449.548101,6957.011485,7171.667437,7248.411354,7514.84034,8286.483057,8167.840223,8463.916446,7471.382886,8529.225103,5661.345972,6284.743888
etanolhidratado,es,Prophet,RawData,0.359856527,54.54545455,50.8654972,0.87235571,3618.935313,3341.171336,3333.419448,3360.820731,3767.126393,3708.926822,3692.624405,3943.059187,3499.152399,4364.130001,4047.76406,3491.854589
etanolhidratado,go,Prophet,RawData,0.133106272,72.72727273,2.253697938,0.57725246,114973.705,112330.5905,116529.8174,116533.5545,122411.7019,121423.3258,122638.165,125275.0505,116956.2543,128569.4068,114633.0244,107929.2693
etanolhidratado,ma,Prophet,RawData,0.176195581,54.54545455,6.107890718,0.37396699,3499.421618,3202.365484,3265.570591,3437.534339,4000.193333,4028.45773,3797.980272,4337.965241,3822.41594,4471.65215,3948.524831,3107.948523
etanolhidratado,mg,Prophet,RawData,0.196231076,72.72727273,5.356090152,0.564933502,152846.6153,151709.5195,154860.6694,159563.2174,170429.1766,169187.7297,166794.9118,174380.9486,155038.9398,189786.0528,159635.1234,144643.3959
etanolhidratado,ms,Prophet,RawData,0.288015384,81.81818182,35.72518258,0.802035846,12337.17397,12028.20873,11854.92582,11742.19697,13110.49105,12830.95904,13149.24237,13876.46843,12352.28448,14729.38315,12502.81743,11355.30626
etanolhidratado,mt,Prophet,RawData,0.099369152,90.90909091,8.880311426,0.807746852,74467.2749,72774.69377,73238.7056,72775.45583,76445.89908,77352.88515,76148.9116,78003.21828,75696.37947,79373.62336,72915.58333,70801.3867
etanolhidratado,pa,Prophet,RawData,0.300149165,54.54545455,36.54420162,0.846065056,3108.614585,2906.649269,3119.870463,3062.310364,3300.694542,3223.622811,3333.390551,3458.539368,3225.107141,3612.78726,3156.121304,2813.479962
etanolhidratado,pb,Prophet,RawData,0.159702191,90.90909091,8.209177984,0.437533475,11264.13403,9769.9871,9628.453347,10515.12191,10078.78068,10643.51642,10776.09242,11886.96631,10590.45285,14240.74637,12447.36407,9933.745699
etanolhidratado,pe,Prophet,RawData,0.175085264,54.54545455,11.68133039,0.50069345,18077.94432,17074.4521,17887.69878,17798.62386,16867.51837,17377.55077,17329.16426,18621.89641,16291.21083,21491.55402,18470.24148,16360.45054
etanolhidratado,pi,Prophet,RawData,0.310331065,72.72727273,-25.70819094,0.658513758,6076.379607,5647.258811,5945.970558,6245.102787,7029.705507,7147.076573,7072.739682,7677.366264,6646.043972,8526.541174,7383.265055,5449.384555
etanolhidratado,pr,Prophet,RawData,0.203342515,63.63636364,19.40946455,0.792019078,67147.29496,66993.62103,67226.50017,67052.79073,69019.43078,69251.08155,69438.1348,72412.01991,68509.77076,75672.98406,65895.80296,63725.58936
etanolhidratado,rj,Prophet,RawData,0.230972569,72.72727273,27.65906515,0.897168228,47874.88098,46808.00428,46807.20066,47130.1771,48135.54235,48828.81465,48650.82696,49887.76331,47919.00049,50320.21612,47538.69269,46156.35584
etanolhidratado,rn,Prophet,RawData,0.193441603,45.45454545,-10.16915953,0.548679547,5201.105547,4811.16841,4693.397327,4758.08387,5072.80104,5353.343704,5234.277988,5824.358298,5154.762536,6770.571099,5923.191553,4897.24923
etanolhidratado,ro,Prophet,RawData,0.427901192,72.72727273,48.42086818,0.957462732,608.5649616,584.6713167,627.703095,630.2268914,679.2638188,690.5044516,688.1903074,730.0855059,653.7311863,769.4938197,610.976498,564.1378067
etanolhidratado,rr,Prophet,RawData,0.281880709,63.63636364,30.43661374,0.928774095,209.7135559,198.2244619,204.9882559,209.5337851,197.7087028,196.2965066,210.4734655,219.8675607,213.7502016,231.5667721,196.4316656,182.7066234
etanolhidratado,rs,Prophet,RawData,0.41605214,45.45454545,50.4529419,1.008239656,2776.178982,2615.65177,2756.505886,2744.038681,2803.832468,2846.387016,2843.388469,2963.044923,2809.556233,3205.915448,2814.293565,2558.24583
etanolhidratado,sc,Prophet,RawData,0.453783998,63.63636364,55.55249894,0.988659768,4705.801098,4571.487334,4464.296028,4463.466073,4791.69792,4792.01405,4972.208688,5289.556728,4880.622101,5812.610491,5195.927806,4602.900713
etanolhidratado,se,Prophet,RawData,0.172392197,45.45454545,15.82421277,0.50216448,2612.510314,2270.713313,2418.12502,2567.36172,2329.769227,2573.770227,2638.55621,3089.393222,2623.640129,3591.525003,3144.280448,2403.523625
etanolhidratado,sp,Prophet,RawData,0.09409686,72.72727273,3.234833264,0.769129859,685394.057,683224.1794,687296.6824,678298.9232,689183.2441,711104.5944,702513.6921,723801.8214,682301.8976,737941.5156,664482.5055,649617.7431
etanolhidratado,to,Prophet,RawData,0.229349419,54.54545455,24.5530065,0.686393731,2121.286075,2062.829562,2111.921784,2235.213639,2691.98767,2439.129672,2355.615376,2426.990218,2257.727858,2709.446019,2381.179107,2051.999029
gasolinac,ac,Prophet,RawData,0.034272065,81.81818182,-1.213656396,0.486414763,12665.81971,12523.04393,12809.05094,13015.5194,13865.35901,13767.47914,13641.33044,13699.65614,13019.97372,13886.27263,12091.7145,11588.7138
gasolinac,al,Prophet,RawData,0.03791115,63.63636364,2.707324068,0.464781633,40447.42937,39369.36195,38466.41725,37440.24317,39291.72472,40710.48097,41280.72385,43071.15112,41016.09918,47112.49997,43753.5376,38523.36132
gasolinac,am,Prophet,RawData,0.080211827,72.72727273,-6.951191049,0.744446083,54547.06393,52821.85258,54847.57883,54182.22904,56246.08803,59792.9002,57330.7123,59075.52908,54533.71282,59630.85647,48957.06574,48067.84065
gasolinac,ap,Prophet,RawData,0.037615189,63.63636364,-1.091692584,0.929158892,16297.97518,16299.51428,16552.83139,16563.22366,17058.09,17733.33013,17637.15598,17570.86569,16832.97896,17798.95856,15858.1556,15597.426
gasolinac,ba,Prophet,RawData,0.0415477,54.54545455,3.537851342,0.472094026,184636.6398,179219.0162,178901.4247,185056.9069,185671.2314,183360.9408,186289.7928,191642.4103,179270.0832,214720.7731,202978.6646,177397.9795
gasolinac,ce,Prophet,RawData,0.032291155,90.90909091,2.011461781,0.50516669,119514.4299,118365.9406,120469.2043,119529.2583,129516.3114,129903.9918,126460.1348,131990.8111,122913.0576,139415.3709,126291.7721,114198.3326
gasolinac,df,Prophet,RawData,0.057867452,90.90909091,-3.388308491,0.55833144,91605.04748,88852.48327,90644.43468,88409.88494,87109.60402,91222.55026,88928.37801,90798.65544,88109.15064,92968.64872,80621.0679,83361.08138
gasolinac,es,Prophet,RawData,0.039440452,72.72727273,-1.365761742,1.212839611,83723.51694,82599.28034,82347.76742,81392.26197,84063.14615,84062.31864,82521.03005,84709.7744,81735.30794,89503.13745,87201.33581,83074.55127
gasolinac,go,Prophet,RawData,0.070231655,81.81818182,6.330177695,0.48618394,125120.3535,123940.3498,123679.6951,119152.5544,130041.9054,126197.4724,124897.5956,130110.3423,119609.6997,145118.8559,120615.5185,112507.9671
gasolinac,ma,Prophet,RawData,0.033799957,90.90909091,2.702300434,0.528178312,84373.16474,82914.94713,84216.65675,85137.4673,91571.18239,91572.90348,89831.96867,92690.26088,87128.13338,97066.24517,87490.44781,80152.86749
