paper,transformation,UF,PRODUCT,MODEL,PARAMS,WINDOW,HORIZON,RMSE,MAPE,POCID,PBE,MASE,MCPM,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
arima,normal,TO,gasolinac,arima,{'p': 12 'q': 6},12,12,3065.436543,0.080344178,81.81818182,6.68534651,1.092203739,24241.33306,31966.08097,31549.84718,34145.47889,33220.73579,34551.56197,33316.82132,33849.12184,32806.81496,32348.10428,36393.16466,32425.3682,33913.49429
arima,normal,AP,etanolhidratado,arima,{'p': 12 'q': 6},12,12,27.63849954,0.392298886,54.54545455,45.12818772,0.851913514,556.408225,21.36498174,22.7285811,27.08055255,26.22114904,28.70068282,24.80004243,22.7383407,22.56613489,24.40346217,24.30075639,26.8998262,26.83971806
arima,normal,PR,etanolhidratado,arima,{'p': 12 'q': 6},12,12,28472.04958,0.218285175,54.54545455,22.88489795,0.813526858,563093.6235,66387.32664,63772.43904,63034.84561,66276.23074,65717.39718,64938.59555,67518.0855,63436.90832,66465.60505,69550.07114,63277.97552,66506.25297
arima,normal,TO,etanolhidratado,arima,{'p': 12 'q': 6},12,12,1333.518555,0.270823863,63.63636364,31.34529605,0.803720686,21158.11804,2111.807155,1968.023404,2045.167399,2172.605496,2058.15515,2116.17246,2154.155503,2053.790891,2143.98496,2320.838916,2121.276887,2072.508108
arima,normal,MG,etanolhidratado,arima,{'p': 12 'q': 6},12,12,47295.1047,0.184160953,72.72727273,18.32826674,0.612774804,562302.2519,139056.5269,125637.16,139249.9615,142685.5716,131386.5582,140784.8315,143888.9146,142371.5504,147707.2486,148286.3953,136515.3015,144187.4812
arima,normal,MA,etanolhidratado,arima,{'p': 12 'q': 6},12,12,1426.710482,0.239880474,54.54545455,25.83827039,0.586087951,28233.99571,2971.753131,2940.454675,2744.246509,2945.239014,2989.371129,2902.458487,3041.976827,2965.251603,2901.476132,3113.754285,3044.012531,2920.592363
arima,normal,PE,etanolhidratado,arima,{'p': 12 'q': 6},12,12,5689.259491,0.192571328,54.54545455,15.67217343,0.569393971,112456.4495,18445.97243,18250.56954,16177.00449,16085.05544,17093.3534,17943.16287,16650.62451,16395.33604,16634.15291,17917.08815,16355.88771,16046.00293
arima,normal,RN,etanolhidratado,arima,{'p': 12 'q': 6},12,12,922.2591374,0.16907566,45.45454545,-1.518633503,0.502572361,21854.23669,4357.691863,4707.368042,4717.993578,5028.604816,5212.335058,4775.525026,5020.258233,4829.982937,4803.117887,5291.704075,4913.888127,5034.538469
arima,normal,CE,etanolhidratado,arima,{'p': 12 'q': 6},12,12,5574.782368,0.253682839,36.36363636,29.21134079,0.808321571,154234.4687,10847.73191,10595.13148,9925.691601,9877.964639,9846.829827,10134.1628,9535.296594,9538.140755,9939.99561,9889.926952,9760.350206,9616.784391
arima,normal,AM,etanolhidratado,arima,{'p': 12 'q': 6},12,12,5190.644467,0.343621814,81.81818182,34.63669591,1.216635531,41640.76186,10119.93374,9681.751014,9967.536188,9956.699395,9530.609538,9472.670275,9342.597355,9474.338743,9610.354104,9646.186599,9063.589391,9559.823124
arima,normal,SE,etanolhidratado,arima,{'p': 12 'q': 6},12,12,1037.536761,0.239896081,54.54545455,19.86450738,0.669270719,20533.70793,2768.514335,2571.401499,2665.264434,2819.618058,2495.741053,2225.017727,2242.470998,2150.817921,2323.020605,2727.963865,2809.039919,2915.720837
arima,normal,RJ,etanolhidratado,arima,{'p': 12 'q': 6},12,12,26294.46994,0.257558903,63.63636364,30.32551803,0.983659105,416967.1061,47014.96925,45938.12499,45979.3297,46419.51678,46731.07723,44920.04171,47086.7077,46255.31351,45467.6481,47659.2164,45371.37137,45980.95077
arima,normal,ES,etanolhidratado,arima,{'p': 12 'q': 6},12,12,5827.333973,0.375044102,45.45454545,51.34331125,0.90663966,138590.2812,4001.020624,3861.284711,3688.502772,3657.057598,3525.531666,3506.52983,3660.838621,3605.807306,3589.25466,3646.387902,3383.417298,3613.825393
arima,normal,PA,etanolhidratado,arima,{'p': 12 'q': 6},12,12,2902.484165,0.337054137,54.54545455,41.7086312,0.932870578,57558.08927,2890.460879,2706.56896,2785.394826,3092.98805,2932.843768,3015.595249,3000.680913,2906.407715,2861.503815,3052.350002,2939.849757,3017.725864
arima,normal,MS,etanolhidratado,arima,{'p': 12 'q': 6},12,12,11127.43166,0.330477673,54.54545455,41.58956227,0.903981114,220613.3628,12277.5891,11251.8334,10572.10163,11908.59367,11494.35417,11154.93095,11899.17458,11250.53589,11510.33616,12399.81434,10927.67036,11366.08327
arima,normal,SC,etanolhidratado,arima,{'p': 12 'q': 6},12,12,8066.790454,0.425901243,54.54545455,54.70843598,0.973638102,160269.8259,5177.534759,5180.536837,5199.791991,5278.519506,4906.928818,4620.70962,4494.937953,4611.841039,4783.028486,5034.909499,5162.76936,5202.8114
arima,normal,BA,etanolhidratado,arima,{'p': 12 'q': 6},12,12,12308.54363,0.189874939,36.36363636,18.49869651,0.695077331,340183.4931,35785.1081,34404.5746,33639.49849,37000.93642,35052.90144,34232.10998,35839.05025,33918.13392,34265.35218,37148.98522,35441.66121,34442.22516
arima,normal,GO,etanolhidratado,arima,{'p': 12 'q': 6},12,12,23423.49401,0.136650701,63.63636364,13.37378495,0.657920171,370212.534,100495.1995,97107.92709,104096.4669,107065.5796,104175.8721,105327.0671,108926.0611,106216.7762,107170.0077,110497.5316,102312.3002,105243.8895
arima,normal,SP,etanolhidratado,arima,{'p': 12 'q': 6},12,12,111106.0455,0.113368663,72.72727273,11.30174834,0.980847247,1317555.424,640446.108,619797.9001,629995.7682,638040.9283,613349.1,621621.3489,658691.4252,623610.1318,633357.4486,668580.849,614460.7208,641675.5883
arima,normal,RS,etanolhidratado,arima,{'p': 12 'q': 6},12,12,3656.086093,0.394542455,63.63636364,49.06537384,0.980510824,58199.2512,3276.587245,2693.914576,2761.660976,3025.971906,2878.572235,2975.769412,2994.029775,2575.555101,2666.242025,3038.862057,2850.779104,2943.902478
arima,normal,AL,etanolhidratado,arima,{'p': 12 'q': 6},12,12,1131.338696,0.161137127,63.63636364,8.634870955,0.51319681,17895.44032,5106.686617,4874.294737,5262.362883,5509.865743,5331.029992,5350.359488,5290.188355,5061.71549,5223.379926,5494.478914,5368.763942,5438.635196
arima,normal,MT,etanolhidratado,arima,{'p': 12 'q': 6},12,12,17075.78615,0.169836136,63.63636364,17.91050622,1.359555463,270132.3498,69535.33784,65866.35159,66520.61357,65848.78283,66735.45246,67815.71403,70007.74593,68041.42371,67310.08274,69888.94377,65271.84929,67960.00437
arima,normal,DF,etanolhidratado,arima,{'p': 12 'q': 6},12,12,14124.08865,0.554853624,72.72727273,61.81812807,1.000905479,170197.5269,8024.478771,7217.378573,7165.848064,7870.880857,7133.519777,7180.543067,7379.014867,7695.796644,7662.107653,7625.916698,7012.756753,7523.078808
arima,normal,PB,etanolhidratado,arima,{'p': 12 'q': 6},12,12,4352.128751,0.254040746,81.81818182,29.07780699,0.74629747,34744.87451,8706.257395,8168.100051,7685.293103,8395.334194,7717.851875,7886.589761,8412.786787,8541.639101,8629.277514,9609.859646,9071.279207,8991.984838
arima,normal,PI,etanolhidratado,arima,{'p': 12 'q': 6},12,12,903.6705886,0.153602824,45.45454545,2.338101725,0.339475412,21407.4152,5180.910668,4777.144535,5198.679379,5521.199486,5231.795173,5110.551401,5306.971196,5326.649044,5351.849666,5477.848846,5114.404759,5211.390148
arima,normal,RR,etanolhidratado,arima,{'p': 12 'q': 6},12,12,123.1114548,0.354923641,54.54545455,37.26731755,1.137213208,2449.034657,178.861125,174.8394138,177.4665808,187.4302895,193.4981548,182.6920221,186.2662982,190.0618895,189.7698643,188.7711189,192.4835433,186.4583182
arima,normal,RO,etanolhidratado,arima,{'p': 12 'q': 6},12,12,730.1357529,0.417918899,36.36363636,47.82272811,0.945635252,20262.79329,622.3424423,644.0547283,643.7350111,671.3487033,671.6480776,669.2879401,659.8506652,659.0107701,663.8038299,689.384521,665.4752488,668.4962713
arima,normal,AC,etanolhidratado,arima,{'p': 12 'q': 6},12,12,451.6590795,0.394489311,36.36363636,43.732714,0.997998144,12533.6479,473.6578726,491.579909,486.0702391,484.8743568,516.0126762,518.1494144,516.0211595,498.8434864,523.8207398,513.8828283,509.318662,487.9783258
arima,normal,PE,oleodiesel,arima,{'p': 12 'q': 6},12,12,8763.372331,0.049133516,72.72727273,4.186743623,1.282384042,103677.5211,119864.4331,115848.8622,118645.0519,121623.4986,123134.7118,127965.7917,130711.2082,134040.4001,130167.0198,129686.6669,125483.9863,121252.844
arima,normal,GO,oleodiesel,arima,{'p': 12 'q': 6},12,12,24161.40656,0.06788326,63.63636364,7.032098913,1.176585858,381154.7655,271936.7932,251264.1713,260935.7127,272408.9415,302670.6473,299911.7995,301298.6839,291239.7895,262524.6289,239740.3991,240390.7041,275297.5454
arima,normal,AM,oleodiesel,arima,{'p': 12 'q': 6},12,12,15339.53278,0.167577605,72.72727273,-11.0809164,0.918867457,182266.316,82535.97938,82000.76135,84030.72754,86125.77137,87279.54327,87152.87574,85763.2101,85477.34136,86900.88837,85900.2616,86134.94627,86174.01778
arima,normal,RS,oleodiesel,arima,{'p': 12 'q': 6},12,12,23953.0186,0.053966599,54.54545455,4.140211717,0.84234991,472013.5882,349871.8603,345742.5275,311835.5129,285486.322,289415.815,315080.6117,316146.6069,336552.3102,337018.0262,309341.7304,287621.6609,292529.9757
arima,normal,MS,oleodiesel,arima,{'p': 12 'q': 6},12,12,22162.27208,0.095015854,63.63636364,9.30170275,1.159672973,349878.6042,156705.1981,145652.705,144016.8465,149066.0919,175712.8283,174215.484,164384.2107,163780.0411,150095.5104,142889.7032,130539.0937,140898.1512
arima,normal,RN,oleodiesel,arima,{'p': 12 'q': 6},12,12,2106.322771,0.045320485,72.72727273,2.130399777,1.126048184,24916.35717,36795.786,35976.88755,37095.93734,37124.16115,38380.65129,40541.38625,40914.78629,40524.01009,39997.52562,40510.5562,38818.40224,37985.81645
arima,normal,MG,oleodiesel,arima,{'p': 12 'q': 6},12,12,52199.26863,0.06938928,81.81818182,6.523609074,1.217205707,412531.6093,623127.4542,615774.0794,648710.8531,637866.4194,669569.3316,695099.8416,675327.3466,671917.2555,628342.8582,585917.1516,585123.6024,614613.8321
arima,normal,AP,oleodiesel,arima,{'p': 12 'q': 6},12,12,623.397161,0.060601582,45.45454545,-2.035199825,0.431158357,14741.72947,7593.593492,7841.94454,8679.37184,8603.316697,9067.639962,9931.634678,9383.519633,9131.964603,8500.627465,8053.288642,8060.639963,7268.053886
arima,normal,SP,oleodiesel,arima,{'p': 12 'q': 6},12,12,83827.74789,0.065322478,90.90909091,6.573231269,1.051795405,332357.542,1027815.692,1010882.062,1081115.231,1098615.671,1160249.679,1229916.72,1176710.748,1135595.797,1073104.203,965951.2979,900267.7573,929747.878
arima,normal,CE,oleodiesel,arima,{'p': 12 'q': 6},12,12,8301.82565,0.077219804,63.63636364,6.975717601,1.130289547,130998.6582,84550.38731,81828.69296,87492.24463,89179.48777,91371.23689,95474.8089,95776.5512,95619.36469,94332.57573,91590.47518,87684.3891,86369.90235
arima,normal,DF,oleodiesel,arima,{'p': 12 'q': 6},12,12,1369.284333,0.032511883,81.81818182,-0.490754423,0.861629782,10799.85117,32687.65969,30223.08521,33173.03337,31772.54807,33173.89418,35172.15705,33841.1142,34809.7297,31531.12949,32422.60971,30387.80471,31693.48785
arima,normal,PA,oleodiesel,arima,{'p': 12 'q': 6},12,12,15002.99568,0.049129538,81.81818182,4.242429651,1.217636475,118437.5143,228322.9111,227874.5528,238919.9963,244040.4305,256311.0997,255165.475,250981.8611,246458.9306,240425.0386,232923.9971,219738.2149,222806.9965
arima,normal,RR,oleodiesel,arima,{'p': 12 'q': 6},12,12,4415.611815,0.220324422,81.81818182,-20.76309059,0.765282006,35186.92574,23429.85218,23454.16988,23565.21175,19332.10753,23369.64112,24218.35425,26743.46195,27298.06568,23378.54446,22819.96083,22628.93395,24519.97476
arima,normal,PB,oleodiesel,arima,{'p': 12 'q': 6},12,12,2926.130328,0.059375216,81.81818182,5.765345121,0.785526792,23113.00073,35481.04615,33742.16071,35218.94148,34922.50289,37071.09927,39847.99822,40142.32112,41233.44418,40203.25679,41088.01132,38460.07991,35796.04865
arima,normal,SE,oleodiesel,arima,{'p': 12 'q': 6},12,12,1613.649932,0.045027776,72.72727273,0.217612782,0.897350285,19088.29178,32062.19589,31647.29375,32576.23527,30847.24067,29753.30986,31185.94289,31375.72524,32282.17074,32577.73395,31035.31731,30500.41074,31016.79082
arima,normal,RO,oleodiesel,arima,{'p': 12 'q': 6},12,12,3621.258909,0.037737579,54.54545455,-0.422648443,0.360056042,71334.96741,73427.57445,71641.9177,76514.1858,81675.63519,87504.4938,85320.95878,81780.62445,77163.30228,74351.1535,73585.82195,71966.56164,73428.51403
arima,normal,MT,oleodiesel,arima,{'p': 12 'q': 6},12,12,31308.3549,0.083533749,72.72727273,6.65378223,0.963282633,370867.5014,315780.0055,263775.4243,285872.5469,329119.3643,341096.8312,325230.4269,336133.1253,321952.4751,277687.3131,256996.1302,301520.6752,351804.1089
arima,normal,BA,oleodiesel,arima,{'p': 12 'q': 6},12,12,37332.47135,0.119288,72.72727273,10.6720629,1.309917741,442805.2317,259493.9382,257643.8595,262812.6672,253076.9806,260849.6687,275826.2848,271596.0946,270013.0499,265372.6536,261181.3611,258222.4228,265419.1968
arima,normal,MA,oleodiesel,arima,{'p': 12 'q': 6},12,12,16253.45075,0.099630609,81.81818182,10.06781706,1.302925635,128664.7183,116219.9694,112822.0572,120327.6253,124358.8246,132811.9716,138683.6934,139800.4741,135158.7212,133123.6848,129625.7107,119782.317,117854.6719
arima,normal,AC,oleodiesel,arima,{'p': 12 'q': 6},12,12,1158.880845,0.073104147,90.90909091,-2.414054887,1.033352863,4598.882409,12516.4922,12012.18825,13108.31669,13656.79972,14371.34554,15020.24767,15019.60331,15160.57196,14303.85686,13871.54927,13280.21203,13094.31104
arima,normal,AL,oleodiesel,arima,{'p': 12 'q': 6},12,12,2892.875035,0.06031935,72.72727273,5.424877969,1.191199746,34239.49789,33206.20235,30302.31261,29239.75445,27108.18603,28551.14241,30297.71373,32763.67473,36633.38468,37598.41388,38854.06558,37800.13074,35235.56331
arima,normal,ES,oleodiesel,arima,{'p': 12 'q': 6},12,12,8159.70591,0.0569592,54.54545455,4.656875564,1.295302631,160804.9318,104588.546,101179.697,109591.7946,106821.6833,108645.0857,108423.5826,105792.0618,109370.3354,106248.6963,107341.936,106672.0182,106160.4795
arima,normal,RJ,oleodiesel,arima,{'p': 12 'q': 6},12,12,22684.82146,0.088086178,81.81818182,8.997878337,1.164005014,179462.5993,213997.8694,200873.6036,206944.8134,201686.0445,209207.8079,213494.3079,206020.3105,218331.3025,209276.5456,216627.7729,209833.1442,203271.4217
arima,normal,SC,oleodiesel,arima,{'p': 12 'q': 6},12,12,14138.47262,0.041906658,45.45454545,3.970590392,0.954833533,334192.3606,247995.435,242071.8914,237888.2129,231002.1849,242741.9882,253994.5321,247264.8607,248267.5958,246882.6641,241864.3988,243250.4242,244266.6397
arima,normal,PR,oleodiesel,arima,{'p': 12 'q': 6},12,12,55914.53119,0.080334407,72.72727273,8.131213009,1.143433318,662265.133,516972.0587,492640.2021,495007.5176,478824.7638,521062.9457,535219.9766,507919.8631,511289.7227,494872.741,491620.5643,463202.6658,469284.4317
arima,normal,TO,oleodiesel,arima,{'p': 12 'q': 6},12,12,6830.058041,0.043376288,72.72727273,2.24942821,1.111335932,80787.94006,100139.2522,100005.529,101653.6746,104955.4685,110355.324,109838.7151,109233.8099,107618.7796,100702.9444,95045.4695,94913.87782,99514.87821
arima,normal,PI,oleodiesel,arima,{'p': 12 'q': 6},12,12,6281.409684,0.105540258,72.72727273,9.65187747,1.872905202,74468.22247,45175.87988,44721.18073,47883.30376,48339.73621,50596.7675,52302.10816,52523.08248,52097.33097,52425.18845,50449.55352,47332.74544,48364.45045
