paper,transformation,UF,PRODUCT,MODEL,PARAMS,WINDOW,HORIZON,RMSE,MAPE,POCID,PBE,MASE,MCPM,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
arima,normal,PB,gasolinac,arima,{'p': 12 'q': 6},12,12,4628.881138,0.065026893,72.72727273,5.729834023,0.827051063,54795.58719,60711.79512,59541.67657,60302.47959,58583.94528,60106.30201,59331.06711,59047.38016,57687.20335,57313.98771,61869.41075,59270.36659,58453.54228
arima,normal,AP,gasolinac,arima,{'p': 12 'q': 6},12,12,981.7000452,0.048160164,90.90909091,2.667013831,1.206549872,3885.103636,15448.80388,14957.3933,15829.33288,15364.20261,16534.47799,17160.33412,16796.24197,16955.49158,16437.64081,17193.83193,16073.00036,15546.5771
arima,normal,ES,gasolinac,arima,{'p': 12 'q': 6},12,12,4185.830218,0.037878024,54.54545455,-0.49689984,1.171264575,82456.56613,83276.52517,80815.2616,84575.62719,80822.04073,84625.69851,82851.15922,83467.76142,83114.58932,82075.69754,86977.54617,82451.66843,83248.87081
arima,normal,RN,gasolinac,arima,{'p': 12 'q': 6},12,12,4313.448868,0.069740128,45.45454545,5.862470137,0.893190256,102010.7144,51396.68989,51415.65265,54440.91389,51019.43629,53418.15756,53322.72043,53026.27289,51650.18422,51904.16729,55165.89666,51929.47271,52729.72428
arima,normal,RR,gasolinac,arima,{'p': 12 'q': 6},12,12,827.4887016,0.048240128,72.72727273,1.604232456,0.891355257,9790.030718,15096.23304,15048.41322,15179.48596,14882.19607,14733.45606,15315.48058,15400.01144,14974.14793,14971.12258,15201.33955,14579.25251,14782.93719
arima,normal,MA,gasolinac,arima,{'p': 12 'q': 6},12,12,7333.25235,0.071678744,72.72727273,6.602966254,1.117027499,86830.03856,83989.55529,79977.60633,83456.85269,79150.20984,82559.13544,85845.50553,86495.59469,85744.3097,85755.07106,90316.54729,84383.02027,84212.10278
arima,normal,AC,gasolinac,arima,{'p': 12 'q': 6},12,12,656.5472383,0.043484675,81.81818182,-0.766606807,0.616878381,5181.673728,12081.31484,12053.9527,12805.84189,12438.01653,13156.95587,13875.73704,14053.6855,13666.19003,13298.91751,13652.78343,12630.47423,12168.49395
arima,normal,DF,gasolinac,arima,{'p': 12 'q': 6},12,12,7998.230933,0.071959166,81.81818182,-1.568582327,0.694114895,63219.52321,85370.66264,83633.42912,89419.50898,84324.04699,86790.24154,88968.65518,87096.65049,87357.96223,86451.38367,92123.91811,84072.2539,88319.0236
arima,normal,SE,gasolinac,arima,{'p': 12 'q': 6},12,12,2795.34854,0.064497842,81.81818182,6.651566249,0.802232872,22086.23961,32405.26769,31879.87692,33340.01948,32349.51665,32213.54372,33109.01968,33353.35813,32413.43482,32310.39573,34133.16949,32680.76805,32635.71229
arima,normal,MG,gasolinac,arima,{'p': 12 'q': 6},12,12,34284.64798,0.070041901,72.72727273,4.190791743,0.540581893,405923.0488,364389.5772,364744.2615,385233.203,357904.808,396855.2465,377944.1293,372729.5035,369889.6297,362141.2381,402227.2593,368630.0241,383830.7028
arima,normal,PR,gasolinac,arima,{'p': 12 'q': 6},12,12,14810.72171,0.040375173,63.63636364,1.571853875,0.363497027,233467.9573,288844.5554,282303.9009,280141.3786,261798.5708,281248.0675,274104.9943,266094.9164,264593.6574,259031.3737,288188.7017,253718.1236,261862.7326
arima,normal,PE,gasolinac,arima,{'p': 12 'q': 6},12,12,9772.006123,0.066683932,63.63636364,5.666405666,0.81654078,154152.4084,114801.9041,109850.937,113421.58,112012.0951,116305.1538,117103.6919,117723.8622,113525.9638,111740.563,118723.939,113628.5883,116696.0384
arima,normal,BA,gasolinac,arima,{'p': 12 'q': 6},12,12,16052.14169,0.070991759,36.36363636,5.995549336,0.81371707,442817.8473,186400.6242,186724.0709,185120.7667,184697.6198,189291.2147,177808.2143,178083.8906,174480.9343,176619.8969,191735.419,183528.7526,177349.8963
arima,normal,GO,gasolinac,arima,{'p': 12 'q': 6},12,12,10453.07021,0.064367925,54.54545455,5.07889818,0.430945473,206034.0787,133430.679,132888.5471,133126.5401,121291.1936,128533.9481,128635.8935,125693.1912,121463.4025,122160.2255,130557.2828,121034.4066,122227.8644
arima,normal,PA,gasolinac,arima,{'p': 12 'q': 6},12,12,9368.903993,0.068574457,90.90909091,6.212655494,1.134674857,37158.96137,107159.2848,100446.4679,104358.8557,100292.1463,108254.3436,111499.1998,111917.2557,112965.1363,111430.2378,120483.5004,108358.0092,108322.1213
arima,normal,CE,gasolinac,arima,{'p': 12 'q': 6},12,12,9978.029434,0.068036464,81.81818182,5.971431282,1.071297023,78851.10372,118806.094,113596.141,118052.8385,112961.3909,119076.8251,121838.5847,123747.2136,123883.716,119733.8675,127231.656,120608.0892,118471.1769
arima,normal,PI,gasolinac,arima,{'p': 12 'q': 6},12,12,6706.05101,0.110725817,54.54545455,11.33495206,1.106747699,132314.854,47713.33428,45632.56489,44095.44042,42567.16817,44633.16373,46525.38155,46847.91791,45892.41085,46855.68591,50706.09219,48933.31159,47246.71852
arima,normal,RO,gasolinac,arima,{'p': 12 'q': 6},12,12,2629.597559,0.04988248,81.81818182,3.772058923,0.948595335,20759.90307,36389.24554,36083.57656,36944.56475,35542.54937,39311.75866,40897.96534,40352.78092,39912.03626,40273.73567,41491.994,37143.68808,37155.8472
arima,normal,AL,gasolinac,arima,{'p': 12 'q': 6},12,12,3043.660273,0.063398667,45.45454545,5.643335442,0.785022439,71972.88372,40256.81611,39017.68347,38934.17112,37071.1702,38579.31063,39452.71991,40554.45234,39622.22128,39636.91873,42675.43704,40391.30804,39489.46328
arima,normal,RJ,gasolinac,arima,{'p': 12 'q': 6},12,12,26790.67468,0.115822232,54.54545455,11.77269499,0.951948504,528650.5547,201769.5596,188043.0667,188801.5205,167044.24,176730.9108,174813.3605,166703.1611,169628.3026,161746.7626,185806.1926,167082.5669,173085.4154
arima,normal,RS,gasolinac,arima,{'p': 12 'q': 6},12,12,24736.80365,0.060702602,63.63636364,5.776889897,1.111837292,390154.8057,300701.5514,288379.0025,296907.6486,288119.7336,302706.2378,303628.9355,304774.5822,298425.8077,299247.578,322415.0538,303049.1208,306315.3556
arima,normal,SC,gasolinac,arima,{'p': 12 'q': 6},12,12,15794.56432,0.041941562,72.72727273,4.259965641,0.890814441,186812.2614,251124.2715,241302.1814,248052.9546,239327.1153,243605.113,245838.997,246160.6934,241145.9435,246490.1018,263308.9189,250243.2195,251673.2515
arima,normal,SP,gasolinac,arima,{'p': 12 'q': 6},12,12,70817.67096,0.060159997,72.72727273,-1.41114256,0.477870336,838162.3604,867336.9393,860912.7702,888857.8502,833663.1932,859833.9817,876167.78,855809.0891,824637.0923,857922.3598,904773.1112,826293.2566,864566.8148
arima,normal,MT,gasolinac,arima,{'p': 12 'q': 6},12,12,4104.62724,0.0564552,63.63636364,-0.141457893,0.637828912,64732.34742,56623.83673,56396.42332,56681.88392,53597.77488,55604.34315,56200.56317,56008.77757,53834.33828,54953.59316,57610.19646,54254.27698,54908.33771
arima,normal,MS,gasolinac,arima,{'p': 12 'q': 6},12,12,4896.716917,0.05487499,54.54545455,1.798921707,0.38890328,96496.55294,68251.88007,66178.30446,64951.15338,61408.18342,65828.72324,65260.93463,65657.92813,63540.36366,63030.53278,70840.1346,61655.55304,63540.57619
arima,normal,AM,gasolinac,arima,{'p': 12 'q': 6},12,12,3550.532033,0.053161102,63.63636364,-3.742376532,0.479161585,55988.94898,48760.40432,50561.80899,53234.07459,52593.61161,55588.36409,55842.71883,55322.81057,54943.32285,54249.26591,55564.58868,50152.71443,53417.02143
