PRODUCT,UF,MODEL,PARAMETERS,CLASS,MAPE,POCID,PBE,MASE20,MASE21,MASE22,MASE23,MASE24,RRMSE,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60
etanolhidratado,mg,RF,Wind12_TsCesium,Regressor,0.194799393,54.23728814,-3.668322615,0.4253,1.1347,0.3906,2.2372,0.5478,0.4713479,259467.3012,276824.1527,273146.0959,279931.3661,277402.7513,257114.7262,275366.954,279384.03,278099.2137,258826.4727,276730.7706,268691.2377,240674.6935,238926.2885,240513.0419,189411.785,188697.6328,189038.9543,238738.8102,237997.7565,189204.6299,188437.6805,188492.6592,187150.897,179751.4288,179522.8685,179137.1843,144020.6443,141974.4408,180565.3555,181592.1796,180649.8751,141484.063,181157.3793,181581.8081,180559.2678,249532.0976,249670.6407,240607.6168,177137.2314,175505.612,175495.7486,248708.8087,248847.4812,175336.4819,175240.005,175653.9848,175969.37,186744.541,187564.584,188148.1048,142612.2096,139819.218,187132.234,187355.9967,183242.9147,144799.295,188228.1206,186939.7196,188538.9143
etanolhidratado,ms,RF,Wind36_RawData,Regressor,0.183628471,62.71186441,6.015363297,0.3439,0.6606,0.4392,1.9684,0.4651,0.387200487,8857.547257,9486.610958,9045.133664,8403.413817,9673.723023,8793.632653,10014.17703,9903.469239,9857.681002,11074.16155,11497.87681,12845.09828,9277.648225,9583.790001,9582.996473,9725.955842,10905.69247,11196.52091,11888.56599,11972.3804,12233.85655,12375.72239,11606.2179,11394.75138,10024.0381,10459.35992,10365.8396,11577.67988,12213.39251,13230.98748,14226.46459,13556.20034,12858.43152,12316.52389,11786.39473,11367.98989,16769.29564,14985.16356,14437.70677,15165.21196,16637.4717,16797.92622,16340.19359,15654.75651,15093.04567,15342.95813,13831.18462,12317.17075,11370.94427,11919.1376,12401.04584,12121.05548,12604.59971,13548.20471,16213.37351,17814.81946,19808.14666,21091.98207,20462.58679,20064.33337
etanolhidratado,mt,SVR,Wind12_TsCesium,Regressor,0.106325081,3.389830508,0.185946736,0.4599,0.851,0.4402,0.8072,1.2629,0.353133642,87109.80597,87109.80597,87109.80597,87109.80597,87109.80597,87109.80597,87109.80597,87109.80597,87109.80597,87109.80597,87109.80597,87109.80597,77916.54862,77916.54862,77916.54862,77916.54862,77916.54862,77916.54862,77916.54862,77916.54862,77916.54862,77916.54862,77916.54862,77916.54862,68615.39393,68615.39393,68615.39393,68615.39393,68615.39393,68615.39393,68615.39393,68615.39393,68615.39393,68615.39393,68615.39393,68615.39393,77916.54862,77916.54862,77916.54862,77916.54862,77916.54862,77916.54862,77916.54862,77916.54862,77916.54862,77916.54862,77916.54862,77916.54862,68615.39393,68615.39393,68615.39393,68615.39393,68615.39393,68615.39393,68615.39393,68615.39393,68615.39393,68615.39393,68615.39393,68615.39393
etanolhidratado,pa,LagLlama-GLOBAL,Parm9,LLM,0.21743,62.71186,-0.36201,0.5294,0.6378,0.8588,0.8728,0.6655,0.27355,4630.612,4637.6455,4855.0103,4954.085,5205.5693,5594.8457,5942.28,5864.748,5640.6294,6200.901,5373.562,5118.3545,3911.8022,3305.0493,3265.6484,3461.142,3532.894,3361.563,3516.5532,3635.8828,3290.8928,3616.75,3415.7622,3176.3284,4658.5337,4065.926,4005.0005,3996.7668,4321.815,4563.5015,5025.592,4563.1626,4680.2344,4660.556,4348.108,3747.9194,3330.3813,3074.7998,3014.7373,2975.1587,2852.7185,2917.722,2921.343,2934.1045,2837.6848,2843.1204,2957.1038,2675.7258,3531.525,3577.7366,3774.4468,3879.7966,3681.8342,3930.5415,3654.8247,3783.3599,4039.0044,4477.933,4612.6064,4555.2
etanolhidratado,pb,LagLlama-GLOBAL,Custom,LLM,0.26977,69.49153,-3.00403,1.0548,0.7819,0.2679,0.9917,0.7288,0.49818,16966.742,17179.71,16675.873,16222.363,15724.134,16777.064,16755.197,17267.053,16578.932,17882.068,17588.53,15539.554,15603.42,13887.982,12142.707,11519.13,11392.298,11920.216,12389.96,14765.62,15480.713,18778.598,16665.742,14999.994,15029.604,10447.843,8697.272,7073.688,6113.666,7352.919,8352.028,9799.65,10859.356,12123.581,11492.075,9790.822,12579.119,11452.605,11301.273,8742.04,8668.439,9689.988,10356.557,10356.417,10857.499,11082.278,11797.935,10187.715,10648.597,8367.779,8357.305,8698.758,7202.556,8022.654,8009.9277,8617.403,8586.009,9404.621,9089.778,8561.782
etanolhidratado,pe,LagLlama-GLOBAL,Parm9,LLM,0.22405,66.10169,-5.9753,1.0968,0.639,0.5923,0.8616,0.2963,0.29168,35561.086,37223.945,34909.203,32298.252,32271.84,32192.666,31753.053,29944.432,29026.277,31235.719,25570.01,21395.107,26943.498,18157.207,14912.975,15333.292,17485.348,16535.707,17721.895,19101.324,20277.709,24457.656,21063.838,21990.178,27266.445,20436.16,19225.324,19564.445,19003.041,19968.375,20562.291,23716.12,24034.785,27122.143,25335.752,21730.744,27564.387,25583.568,20788.938,17360.248,14374.533,17170.564,17019.004,17731.836,19661.436,21809.37,20585.094,19925.02,17586.008,18037.24,17299.275,16862.092,14833.767,16004.859,17143.074,20085.73,21060.227,24305.637,22650.3,20483.492
etanolhidratado,pi,LagLlama-GLOBAL,Custom,LLM,0.20786,59.32203,-1.05461,0.3653,0.7785,0.7168,1.0136,0.2813,0.47511,6608.998,6784.1143,7172.6,7332.6133,7793.924,8091.4937,8203.318,8235.847,8290.593,8723.379,8575.882,7524.7573,7110.8774,6869.217,6662.0864,6388.823,6641.477,6877.6006,7327.2173,8431.051,7718.6807,8259.457,7320.971,6037.73,6891.34,5507.4487,4934.695,5202.5264,5018.46,5452.4956,6081.695,7324.763,7808.9287,8370.793,7530.6123,6234.017,5615.264,5626.467,6167.3564,5728.0537,5581.7607,6791.493,6188.0063,7405.88,6386.484,6178.8525,5979.2437,5897.025,4573.0605,4676.6245,4731.504,4056.6218,4226.8735,4779.831,5081.2515,4820.489,5231.0317,5492.4263,5033.575,4612.6836
etanolhidratado,pr,RF,Wind12_TsCesium,Regressor,0.223922679,57.62711864,-6.551733722,0.5381,0.2866,0.3435,3.8664,0.7717,0.315358306,148794.0856,148466.9724,146214.5238,146225.8277,146179.0508,146580.124,146042.3202,146591.3331,146037.3214,147100.0955,144664.6627,148210.8163,105581.5965,105437.7444,110511.3172,105835.8768,108592.0743,109975.5241,108393.476,105709.226,105489.1077,105464.1996,105612.6744,105638.8368,78722.72848,81651.12115,78657.87316,75034.0672,81649.46533,80174.63103,73761.21458,74577.60791,75975.91865,77131.16484,74998.59004,76088.41618,104537.3781,104198.3585,108463.4578,106670.0713,107067.0502,108702.8683,107667.5591,104663.8278,104649.3358,107869.766,104718.9791,104269.2555,78800.68458,81857.67071,78760.52768,71479.53779,71502.95697,71164.54431,79040.09475,78640.78989,71705.90028,72150.15931,80717.50315,81719.93713
etanolhidratado,rj,LagLlama-GLOBAL,Custom,LLM,0.12366,84.74576,0.90819,0.562,0.2786,0.8589,1.1742,0.6376,0.21277,68408.93,68192.59,69177.67,65398.023,69565.516,72139.69,72895.375,78114.98,71402.41,83647.984,73241.08,70014.53,38764.61,29304.057,30251.648,33040.348,38823.99,43101.3,47494.996,49785.16,46222.434,53129.91,45342.703,42271.445,54608.05,48944.38,50899.44,50672.984,54249.07,53870.87,55504.19,56965.64,56269.535,64090.434,55981.62,53683.066,53326.45,46527.25,44065.54,41663.742,44127.33,44323.12,45403.125,47237.395,48494.176,51697.37,45371.87,46475.6,49408.33,48333.086,50484.07,50443.234,51732.73,55747.5,57745.36,58728.37,57021.496,62337.305,53478.39,52678.45
etanolhidratado,rn,kNN,Wind12_TsCesium,Regressor,0.249945666,44.06779661,-2.220411623,0.7304,0.7073,0.4064,1.8231,0.6061,0.297320748,8074.704717,7398.317733,7494.155846,7911.544016,7640.109104,7904.776793,8416.82762,8416.82762,8416.82762,6652.65646,8180.150033,10058.19,7556.064869,4511.652008,6224.227066,4255.020548,6479.747854,5955.168306,6129.377359,6129.377359,5741.61916,9200.407515,5651.716631,6267.504751,7137.256919,5470.767087,5269.19233,5096.67406,5096.67406,5174.421429,5061.821042,4852.699074,4170.663267,5889.550736,4498.179857,5061.821042,7556.064869,4511.652008,6224.227066,4255.020548,6479.747854,5955.168306,6129.377359,6129.377359,5741.61916,9200.407515,5651.716631,6267.504751,7137.256919,5470.767087,5269.19233,5096.67406,5096.67406,5174.421429,5061.821042,4852.699074,4170.663267,5889.550736,4498.179857,5061.821042
